"ThreatType","TaskName","Computer","ThreatLevel","ThreatScore","Indicators","Evidence","Task_Action","Task_User","Task_State","Task_Description"
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Suspicious Task Modification","\Microsoft\Windows\Flighting\OneSettings\RefreshCache","Haager01","MEDIUM","40","Standalone task modification; Advanced persistence technique","Task modified without corresponding creation in analysis window; May indicate modification of existing legitimate task for persistence",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_2062350872","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_2062350872_Programmatic","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_2110605305","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_2110605305_Programmatic","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_504973252","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_504973252_Programmatic","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_1873136167","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
"Potential Hidden Scheduled Task","\TestHiddenTask_1873136167_Programmatic","Haager01","INFO","25","Task created but never properly deleted","Task created via standard Windows interface (schtasks/GUI); Scheduled task was created but no corresponding deletion event found; ⚠️ WARNING: Process creation logging not available - cannot correlate task execution",,,,
